ID_Viaje,Hora_inicio,Hora_fin,N_pasajeros,Distancia_KM,Forma_de_pago,Tarfia_base,Extra,Tax,Propina,Coste_Peaje,Recargo_adicional,Importe_total,Zona_origen,Zona_destino
918,01/01/2025 0:54,01/01/2025 1:19,2,5.44,1,28.2,1.0,0.5,6.64,0.0,1,39.84,Midtown North,Two Bridges/Seward Park
919,01/01/2025 0:35,01/01/2025 1:11,3,29.4,2,189.9,1.0,0.5,0.0,0.0,1,192.4,JFK Airport,Outside of NYC
920,01/01/2025 0:16,01/01/2025 0:19,1,0.54,1,5.1,1.0,0.5,2.02,0.0,1,12.12,West Village,Greenwich Village North
921,01/01/2025 0:32,01/01/2025 0:34,1,0.63,1,5.1,1.0,0.5,2.02,0.0,1,12.12,West Village,Flatiron
922,01/01/2025 0:48,01/01/2025 1:16,1,4.13,1,26.8,1.0,0.5,6.36,0.0,1,38.16,West Village,Lenox Hill West
923,01/01/2025 0:01,01/01/2025 0:16,4,3.6,1,17.7,3.5,0.5,5.7,0.0,1,28.4,UN/Turtle Bay South,Central Harlem
924,01/01/2025 0:21,01/01/2025 0:26,2,0.8,1,7.2,3.5,0.5,1.22,0.0,1,13.42,Upper East Side South,Lenox Hill West
925,01/01/2025 0:39,01/01/2025 0:46,2,1.4,1,10.0,3.5,0.5,3.75,0.0,1,18.75,Upper East Side South,Yorkville East
926,01/01/2025 0:51,01/01/2025 1:16,4,3.6,1,24.7,3.5,0.5,5.9,0.0,1,35.6,Yorkville West,Union Sq
927,01/01/2025 0:46,01/01/2025 1:04,2,2.28,1,17.7,1.0,0.5,3.5,0.0,1,26.2,East Chelsea,UN/Turtle Bay South
928,01/01/2025 0:32,01/01/2025 0:46,2,2.26,2,14.2,1.0,0.5,0.0,0.0,1,19.2,Greenwich Village North,Financial District North
929,01/01/2025 0:53,01/01/2025 1:19,1,6.91,2,31.7,1.0,0.5,0.0,0.0,1,36.7,Financial District North,Yorkville West
930,01/01/2025 0:48,01/01/2025 1:00,2,3.3,1,16.3,3.5,0.5,10.0,0.0,1,31.3,Murray Hill,Long Island City/Hunters Point
931,01/01/2025 0:29,01/01/2025 0:37,1,1.17,1,9.3,1.0,0.5,2.86,0.0,1,17.16,Meatpacking/West Village West,SoHo
932,01/01/2025 0:10,01/01/2025 0:13,1,0.3,1,4.4,1.0,0.5,1.88,0.0,1,11.28,Little Italy/NoLiTa,Little Italy/NoLiTa
933,01/01/2025 0:40,01/01/2025 0:54,1,4.12,1,19.1,1.0,0.5,0.0,0.0,1,24.1,Little Italy/NoLiTa,Kips Bay
934,01/01/2025 0:58,01/01/2025 1:15,1,4.19,1,21.2,1.0,0.5,3.93,0.0,1,30.13,Kips Bay,Upper East Side North
935,01/01/2025 0:56,01/01/2025 1:04,2,1.1,1,10.0,3.5,0.5,3.0,0.0,1,18.0,Union Sq,East Chelsea
936,01/01/2025 0:19,01/01/2025 1:55,1,6.9,4,40.1,3.5,0.5,0.0,0.0,1,45.1,Kips Bay,Park Slope
937,01/01/2025 0:31,01/01/2025 0:36,2,0.51,1,6.5,1.0,0.5,2.3,0.0,1,13.8,Greenwich Village South,East Village
938,01/01/2025 0:57,01/01/2025 1:14,2,1.83,1,17.0,1.0,0.5,6.6,0.0,1,28.6,Midtown Center,Lincoln Square East
939,01/01/2025 0:19,01/01/2025 0:31,2,1.76,1,12.8,1.0,0.5,4.45,0.0,1,22.25,Lincoln Square East,Upper West Side South
940,01/01/2025 0:33,01/01/2025 0:41,1,1.27,1,9.3,1.0,0.5,2.86,0.0,1,17.16,Upper West Side South,Yorkville West
941,01/01/2025 0:55,01/01/2025 1:40,4,9.07,1,47.1,1.0,0.5,10.42,0.0,1,62.52,Central Park,Carroll Gardens
942,01/01/2025 0:20,01/01/2025 0:30,1,2.4,1,12.8,1.0,0.5,3.56,0.0,1,21.36,East Village,World Trade Center
943,01/01/2025 0:31,01/01/2025 1:02,1,5.38,1,32.4,1.0,0.5,7.48,0.0,1,44.88,World Trade Center,Lincoln Square West
944,01/01/2025 0:57,01/01/2025 1:09,1,1.93,1,13.5,1.0,0.5,3.7,0.0,1,22.2,Midtown Center,Upper West Side South
945,01/01/2025 0:16,01/01/2025 0:29,2,2.31,1,16.3,1.0,0.5,4.26,0.0,1,25.56,Manhattan Valley,Midtown North
946,01/01/2025 0:45,01/01/2025 1:09,1,3.7,1,25.4,1.0,0.5,6.08,0.0,1,36.48,Clinton West,Upper West Side North
947,01/01/2025 0:39,01/01/2025 0:57,1,2.26,2,17.7,1.0,0.5,0.0,0.0,1,22.7,Murray Hill,West Village
948,01/01/2025 0:58,01/01/2025 1:25,1,4.5,1,27.5,1.0,0.5,6.5,0.0,1,39.0,West Village,Upper East Side North
949,01/01/2025 0:14,01/01/2025 0:19,1,1.37,1,7.9,1.0,0.5,1.94,0.0,1,14.84,Upper East Side North,Sutton Place/Turtle Bay North
950,01/01/2025 0:36,01/01/2025 0:43,2,1.82,1,10.7,1.0,0.5,4.71,0.0,1,20.41,Midtown North,Upper East Side North
951,01/01/2025 0:03,01/01/2025 0:15,1,3.04,1,15.6,1.0,0.5,2.06,0.0,1,22.66,Gramercy,Lenox Hill West
952,01/01/2025 0:19,01/01/2025 0:24,1,1.56,1,9.3,1.0,0.5,2.86,0.0,1,17.16,Yorkville West,Sutton Place/Turtle Bay North
953,01/01/2025 0:31,01/01/2025 0:45,1,2.56,1,15.6,1.0,0.5,2.0,0.0,1,22.6,Sutton Place/Turtle Bay North,Lower East Side
954,01/01/2025 0:49,01/01/2025 1:05,1,3.01,1,18.4,1.0,0.5,4.68,0.0,1,28.08,Lower East Side,Battery Park City
955,01/01/2025 0:23,01/01/2025 0:58,2,5.27,1,33.1,1.0,0.5,7.62,0.0,1,45.72,Greenwich Village North,Upper West Side South
956,01/01/2025 0:31,01/01/2025 0:36,1,1.09,1,7.2,1.0,0.5,1.83,0.0,1,14.03,Sutton Place/Turtle Bay North,Lenox Hill West
957,01/01/2025 0:38,01/01/2025 0:48,2,1.5,1,11.4,1.0,0.5,4.1,0.0,1,20.5,Lenox Hill West,UN/Turtle Bay South
958,01/01/2025 0:51,01/01/2025 1:09,2,1.46,1,16.3,1.0,0.5,4.26,0.0,1,25.56,Sutton Place/Turtle Bay North,Murray Hill
959,01/01/2025 0:22,01/01/2025 0:31,3,1.16,2,9.3,1.0,0.5,0.0,0.0,1,14.3,Lincoln Square East,Upper West Side South
