ID_Viaje,Hora_inicio,Hora_fin,N_pasajeros,Distancia_KM,Forma_de_pago,Tarfia_base,Extra,Tax,Propina,Coste_Peaje,Recargo_adicional,Importe_total,Zona_origen,Zona_destino
1,01/01/2025 0:18,01/01/2025 0:26,1,1.6,1,10.0,3.5,0.5,3.0,0.0,1,18.0,Sutton Place/Turtle Bay North,Upper East Side South
2,01/01/2025 0:32,01/01/2025 0:35,1,0.5,1,5.1,3.5,0.5,2.02,0.0,1,12.12,Upper East Side North,Upper East Side South
3,01/01/2025 0:44,01/01/2025 0:46,1,0.6,1,5.1,3.5,0.5,2.0,0.0,1,12.1,Lenox Hill West,Lenox Hill West
4,01/01/2025 0:14,01/01/2025 0:20,3,0.52,2,7.2,1.0,0.5,0.0,0.0,1,9.7,Washington Heights South,Washington Heights South
5,01/01/2025 0:21,01/01/2025 0:25,3,0.66,2,5.8,1.0,0.5,0.0,0.0,1,8.3,Washington Heights South,Hamilton Heights
6,01/01/2025 0:48,01/01/2025 1:08,2,2.63,2,19.1,1.0,0.5,0.0,0.0,1,24.1,Upper West Side South,East Chelsea
7,01/01/2025 0:14,01/01/2025 0:16,0,0.4,1,4.4,3.5,0.5,2.35,0.0,1,11.75,Murray Hill,Murray Hill
8,01/01/2025 0:39,01/01/2025 0:51,0,1.6,1,12.1,3.5,0.5,2.0,0.0,1,19.1,Union Sq,Lower East Side
9,01/01/2025 0:53,01/01/2025 1:13,0,2.8,1,19.1,3.5,0.5,3.0,0.0,1,27.1,Lower East Side,Murray Hill
10,01/01/2025 0:00,01/01/2025 0:09,1,1.71,2,11.4,1.0,0.5,0.0,0.0,1,16.4,Upper East Side South,Yorkville East
11,01/01/2025 0:20,01/01/2025 0:28,1,2.29,2,11.4,1.0,0.5,0.0,0.0,1,16.4,Upper East Side South,East Harlem South
12,01/01/2025 0:33,01/01/2025 0:37,1,0.56,1,5.8,1.0,0.5,2.16,0.0,1,12.96,Yorkville West,Upper East Side North
13,01/01/2025 0:42,01/01/2025 0:55,3,1.99,2,14.2,1.0,0.5,0.0,0.0,1,19.2,Upper East Side North,Manhattan Valley
14,01/01/2025 0:30,01/01/2025 0:36,1,1.1,2,7.9,3.5,0.5,0.0,0.0,1,12.9,Sutton Place/Turtle Bay North,Lenox Hill West
15,01/01/2025 0:39,01/01/2025 1:13,1,3.2,1,26.1,3.5,0.5,7.8,0.0,1,38.9,Lenox Hill West,Greenwich Village North
16,01/01/2025 0:16,01/01/2025 0:35,3,2.5,2,17.7,3.5,0.5,0.0,0.0,1,22.7,Meatpacking/West Village West,Murray Hill
17,01/01/2025 0:43,01/01/2025 1:00,1,1.9,1,16.3,3.5,0.5,4.25,0.0,1,25.55,Midtown South,Sutton Place/Turtle Bay North
18,01/01/2025 0:01,01/01/2025 0:07,1,0.71,2,-7.2,-1.0,-0.5,3.66,0.0,-1,-8.54,East Village,Gramercy
19,01/01/2025 0:01,01/01/2025 0:07,1,0.71,2,7.2,1.0,0.5,0.0,0.0,1,12.2,East Village,Gramercy
20,01/01/2025 0:33,01/01/2025 0:50,2,1.2,1,15.6,3.5,0.5,0.0,0.0,1,20.6,West Chelsea/Hudson Yards,Flatiron
21,01/01/2025 0:05,01/01/2025 0:20,2,3.45,1,17.7,1.0,0.5,4.54,0.0,1,27.24,Yorkville West,Gramercy
22,01/01/2025 0:34,01/01/2025 0:51,2,1.19,1,14.9,1.0,0.5,3.98,0.0,1,23.88,West Chelsea/Hudson Yards,Murray Hill
23,01/01/2025 0:55,01/01/2025 1:00,1,0.69,4,-6.5,-1.0,-0.5,0.0,0.0,-1,-11.5,Kips Bay,UN/Turtle Bay South
24,01/01/2025 0:55,01/01/2025 1:00,1,0.69,4,6.5,1.0,0.5,0.0,0.0,1,11.5,Kips Bay,UN/Turtle Bay South
25,01/01/2025 0:17,01/01/2025 0:22,1,1.0,1,7.2,3.5,0.5,1.83,0.0,1,14.03,Lincoln Square East,Upper East Side South
26,01/01/2025 0:37,01/01/2025 0:43,3,1.1,1,7.9,3.5,0.5,2.55,0.0,1,15.45,Lincoln Square East,Upper West Side South
27,01/01/2025 0:48,01/01/2025 0:53,1,0.7,1,7.2,3.5,0.5,1.0,0.0,1,13.2,Lincoln Square West,Lincoln Square West
28,01/01/2025 0:14,01/01/2025 0:22,2,1.88,1,11.4,1.0,0.5,1.0,0.0,1,17.4,Greenwich Village North,Flatiron
29,01/01/2025 0:32,01/01/2025 0:46,1,3.06,1,17.7,1.0,0.5,10.0,0.0,1,32.7,Flatiron,West Chelsea/Hudson Yards
30,01/01/2025 0:00,01/01/2025 0:04,1,0.86,2,6.5,1.0,0.5,0.0,0.0,1,11.5,Lenox Hill East,Yorkville West
31,01/01/2025 0:11,01/01/2025 0:23,3,3.98,1,19.1,1.0,0.5,6.03,0.0,1,30.13,Lenox Hill East,East Village
32,01/01/2025 0:14,01/01/2025 0:53,1,1.8,1,30.3,3.5,0.5,7.05,0.0,1,42.35,Lincoln Square East,East Chelsea
33,01/01/2025 0:27,01/01/2025 0:48,1,2.9,1,17.7,3.5,0.5,0.0,0.0,1,22.7,East Village,Midtown Center
34,01/01/2025 0:55,01/01/2025 0:59,1,0.4,1,5.1,3.5,0.5,2.0,0.0,1,12.1,Midtown East,Sutton Place/Turtle Bay North
35,01/01/2025 0:32,01/01/2025 1:01,1,4.41,1,28.9,1.0,0.5,3.39,0.0,1,37.29,West Chelsea/Hudson Yards,Upper East Side North
36,01/01/2025 0:32,01/01/2025 0:40,1,1.51,1,10.7,1.0,0.5,3.14,0.0,1,18.84,Upper East Side South,Lenox Hill East
37,01/01/2025 0:53,01/01/2025 0:58,1,0.65,1,5.8,1.0,0.5,2.16,0.0,1,12.96,Yorkville West,Lenox Hill West
38,01/01/2025 0:16,01/01/2025 0:27,1,1.66,1,12.1,1.0,0.5,3.42,0.0,1,20.52,Upper West Side North,Upper East Side North
39,01/01/2025 0:39,01/01/2025 0:43,1,0.77,1,6.5,1.0,0.5,0.69,0.0,1,12.19,Upper West Side South,Lincoln Square East
40,01/01/2025 0:59,01/01/2025 1:27,1,4.26,1,27.5,1.0,0.5,6.5,0.0,1,39.0,Upper West Side South,Greenwich Village North
41,01/01/2025 0:15,01/01/2025 1:03,4,3.05,1,37.3,1.0,0.5,8.46,0.0,1,50.76,Greenwich Village South,Midtown Center
42,01/01/2025 0:39,01/01/2025 0:57,1,2.31,1,17.0,1.0,0.5,3.3,0.0,1,25.3,Stuy Town/Peter Cooper Village,East Chelsea
43,01/01/2025 0:07,01/01/2025 0:13,2,1.02,1,7.9,1.0,0.5,1.55,0.0,1,14.45,Upper East Side South,Upper East Side North
44,01/01/2025 0:22,01/01/2025 0:33,2,1.5,1,10.7,1.0,0.5,3.14,0.0,1,18.84,Upper East Side South,Lenox Hill East
45,01/01/2025 0:43,01/01/2025 1:05,4,2.26,1,19.8,1.0,0.5,4.96,0.0,1,29.76,Upper East Side South,Upper West Side North
46,01/01/2025 0:56,01/01/2025 1:03,2,0.7,1,7.9,3.5,0.5,1.0,0.0,1,13.9,East Village,Alphabet City
47,01/01/2025 0:24,01/01/2025 0:35,1,1.2,1,10.0,3.5,0.5,3.0,0.0,1,18.0,Midtown South,UN/Turtle Bay South
48,01/01/2025 0:52,01/01/2025 0:59,1,1.63,1,9.3,1.0,0.5,2.0,0.0,1,16.3,Upper East Side South,Yorkville West
49,01/01/2025 0:13,01/01/2025 0:24,1,1.3,1,10.7,3.5,0.5,3.9,0.0,1,19.6,Greenwich Village South,East Village
50,01/01/2025 0:27,01/01/2025 0:33,1,1.2,1,7.9,3.5,0.5,1.0,0.0,1,13.9,East Village,Murray Hill
51,01/01/2025 0:54,01/01/2025 1:27,1,3.5,1,29.6,3.5,0.5,8.65,0.0,1,43.25,West Village,Lincoln Square East
52,01/01/2025 0:37,01/01/2025 0:42,4,1.01,1,7.9,1.0,0.5,3.23,0.0,1,16.13,Gramercy,Murray Hill
53,01/01/2025 0:46,01/01/2025 1:02,1,1.58,2,12.1,1.0,0.5,0.0,0.0,1,17.1,Kips Bay,East Village
54,01/01/2025 0:19,01/01/2025 0:36,1,3.41,1,19.8,1.0,0.5,0.0,0.0,1,24.8,Two Bridges/Seward Park,Clinton Hill
55,01/01/2025 0:25,01/01/2025 0:54,2,5.17,1,28.9,1.0,0.5,6.78,0.0,1,40.68,SoHo,Yorkville West
56,01/01/2025 0:14,01/01/2025 0:37,1,6.06,2,28.2,1.0,0.5,0.0,0.0,1,33.2,East Village,Woodside
57,01/01/2025 0:11,01/01/2025 0:26,1,1.63,1,14.9,1.0,0.5,5.97,0.0,1,25.87,West Chelsea/Hudson Yards,Clinton East
58,01/01/2025 0:30,01/01/2025 0:49,1,2.22,1,17.0,1.0,0.5,2.5,0.0,1,24.5,Clinton East,Upper West Side South
59,01/01/2025 0:52,01/01/2025 1:04,1,1.26,1,12.1,1.0,0.5,4.28,0.0,1,21.38,Lincoln Square East,Clinton East
60,01/01/2025 0:04,01/01/2025 0:16,1,1.4,1,10.7,3.5,0.5,3.95,0.0,1,19.65,Gramercy,Midtown East
61,01/01/2025 0:34,01/01/2025 0:43,2,1.4,1,8.6,3.5,0.5,2.7,0.0,1,16.3,Sutton Place/Turtle Bay North,Gramercy
62,01/01/2025 0:51,01/01/2025 1:16,2,3.4,1,21.2,3.5,0.5,5.0,0.0,1,31.2,Union Sq,Lincoln Square East
63,01/01/2025 0:48,01/01/2025 1:03,1,4.2,1,21.2,1.0,0.5,6.55,0.0,1,32.75,Morningside Heights,Clinton East
64,01/01/2025 0:30,01/01/2025 0:40,2,1.9,2,12.1,3.5,0.5,0.0,0.0,1,17.1,Upper West Side North,Upper East Side South
65,01/01/2025 0:46,01/01/2025 0:59,2,3.2,1,17.0,3.5,0.5,4.4,0.0,1,26.4,Yorkville West,Manhattan Valley
66,01/01/2025 0:36,01/01/2025 0:53,1,3.0,1,18.4,1.0,0.5,4.68,0.0,1,28.08,Manhattan Valley,Lenox Hill East
67,01/01/2025 0:11,01/01/2025 0:21,2,2.0,1,12.8,1.0,0.5,3.56,0.0,1,21.36,West Village,West Chelsea/Hudson Yards
68,01/01/2025 0:19,01/01/2025 0:31,1,2.2,1,14.2,1.0,0.5,2.0,0.0,1,21.2,Upper West Side North,Upper East Side South
69,01/01/2025 0:33,01/01/2025 1:04,2,3.46,1,26.8,1.0,0.5,7.2,0.0,1,39.0,Upper East Side South,West Village
70,01/01/2025 0:09,01/01/2025 0:18,1,1.9,1,11.4,1.0,0.5,3.28,0.0,1,19.68,Lenox Hill East,Midtown East
71,01/01/2025 0:55,01/01/2025 0:57,1,0.2,1,4.4,1.0,0.5,1.88,0.0,1,11.28,Lenox Hill East,Lenox Hill East
72,01/01/2025 0:21,01/01/2025 0:36,2,1.71,2,14.2,1.0,0.5,0.0,0.0,1,19.2,Central Park,Midtown Center
73,01/01/2025 0:16,01/01/2025 0:30,2,1.6,1,14.2,3.5,0.5,5.0,0.0,1,24.2,Lincoln Square East,Midtown Center
74,01/01/2025 0:34,01/01/2025 0:56,1,2.0,1,19.1,3.5,0.5,7.2,0.0,1,31.3,Midtown Center,Gramercy
75,01/01/2025 0:36,01/01/2025 0:47,1,1.69,1,12.1,1.0,0.5,5.13,0.0,1,22.23,Lower East Side,Gramercy
76,01/01/2025 0:19,01/01/2025 0:42,1,2.2,1,19.8,3.5,0.5,7.45,0.0,1,32.25,Midtown Center,Upper East Side North
77,01/01/2025 0:48,01/01/2025 0:56,1,1.3,1,8.6,3.5,0.5,2.72,0.0,1,16.32,Upper East Side North,Upper East Side South
78,01/01/2025 0:57,01/01/2025 1:15,1,2.7,1,16.3,3.5,0.5,4.25,0.0,1,25.55,Upper East Side South,Greenwich Village North
79,01/01/2025 0:15,01/01/2025 0:32,1,3.4,1,19.1,3.5,0.5,3.62,0.0,1,27.72,Union Sq,Yorkville West
80,01/01/2025 0:57,01/01/2025 1:04,1,0.5,2,7.2,3.5,0.5,0.0,0.0,1,12.2,Upper West Side South,Lincoln Square West
81,01/01/2025 0:10,01/01/2025 0:14,1,0.92,1,6.5,1.0,0.5,2.3,0.0,1,13.8,Sutton Place/Turtle Bay North,East Harlem South
82,01/01/2025 0:35,01/01/2025 0:45,2,1.36,2,10.7,1.0,0.5,0.0,0.0,1,15.7,Upper West Side North,Upper East Side North
83,01/01/2025 0:08,01/01/2025 0:13,1,0.98,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Manhattan Valley,Upper West Side South
84,01/01/2025 0:15,01/01/2025 0:20,1,0.73,1,7.2,1.0,0.5,3.66,0.0,1,15.86,Upper West Side South,Lincoln Square West
85,01/01/2025 0:28,01/01/2025 0:43,1,2.62,1,16.3,1.0,0.5,4.26,0.0,1,25.56,Lincoln Square East,Bloomingdale
86,01/01/2025 0:45,01/01/2025 0:53,1,1.01,1,8.6,1.0,0.5,2.77,0.0,1,13.87,Bloomingdale,Central Harlem
87,01/01/2025 0:51,01/01/2025 1:06,1,7.2,1,29.6,2.75,0.5,6.75,0.0,1,40.6,JFK Airport,Forest Hills
88,01/01/2025 0:10,01/01/2025 0:35,1,4.24,1,25.4,1.0,0.5,3.0,0.0,1,33.4,Manhattan Valley,UN/Turtle Bay South
89,01/01/2025 0:36,01/01/2025 1:01,4,4.0,1,25.4,3.5,0.5,7.55,0.0,1,37.95,TriBeCa/Civic Center,East Williamsburg
90,01/01/2025 0:33,01/01/2025 0:40,1,1.49,1,9.3,1.0,0.5,2.86,0.0,1,17.16,Upper East Side South,Yorkville East
91,01/01/2025 0:34,01/01/2025 1:20,1,10.42,1,56.9,1.0,0.5,12.38,0.0,1,74.28,Flatiron,Washington Heights North
92,01/01/2025 0:25,01/01/2025 0:39,2,2.2,1,14.9,3.5,0.5,3.95,0.0,1,23.85,Greenwich Village South,Battery Park City
93,01/01/2025 0:49,01/01/2025 0:49,1,0.0,2,20.06,0.0,0.0,0.0,0.0,0,20.06,Financial District North,
94,01/01/2025 0:55,01/01/2025 1:27,1,14.84,1,59.0,1.0,0.5,12.3,0.0,1,75.55,JFK Airport,Flatbush/Ditmas Park
95,01/01/2025 0:11,01/01/2025 0:16,0,0.7,1,7.2,3.5,0.5,0.0,0.0,1,12.2,Little Italy/NoLiTa,SoHo
96,01/01/2025 0:19,01/01/2025 0:27,0,1.0,1,9.3,3.5,0.5,2.85,0.0,1,17.15,SoHo,Meatpacking/West Village West
97,01/01/2025 0:33,01/01/2025 0:40,0,1.2,1,8.6,3.5,0.5,1.0,0.0,1,14.6,Meatpacking/West Village West,East Chelsea
98,01/01/2025 0:45,01/01/2025 1:20,0,1.8,1,28.2,3.5,0.5,8.3,0.0,1,41.5,East Chelsea,Clinton West
99,01/01/2025 0:04,01/01/2025 0:55,9,31.97,2,90.0,0.0,0.0,0.0,20.32,1,111.32,JFK Airport,Outside of NYC
100,01/01/2025 0:08,01/01/2025 0:14,1,0.93,2,7.2,1.0,0.5,0.0,0.0,1,12.2,Sutton Place/Turtle Bay North,UN/Turtle Bay South
101,01/01/2025 0:16,01/01/2025 0:19,1,0.89,1,6.5,1.0,0.5,2.07,0.0,1,13.57,UN/Turtle Bay South,Sutton Place/Turtle Bay North
102,01/01/2025 0:38,01/01/2025 0:52,1,1.91,1,14.2,1.0,0.5,3.84,0.0,1,23.04,Sutton Place/Turtle Bay North,Midtown South
103,01/01/2025 0:07,01/01/2025 0:10,1,0.47,1,5.1,1.0,0.5,2.02,0.0,1,12.12,Midtown North,Upper East Side South
104,01/01/2025 0:22,01/01/2025 0:36,1,1.93,1,14.2,1.0,0.5,3.84,0.0,1,23.04,Lincoln Square East,Midtown East
105,01/01/2025 0:56,01/01/2025 1:15,1,0.97,4,-16.3,-1.0,-0.5,0.0,0.0,-1,-21.3,Midtown Center,Murray Hill
106,01/01/2025 0:56,01/01/2025 1:15,1,0.97,4,16.3,1.0,0.5,0.0,0.0,1,21.3,Midtown Center,Murray Hill
107,01/01/2025 0:34,01/01/2025 1:03,2,2.43,1,25.4,1.0,0.5,0.0,0.0,1,30.4,Midtown East,Flatiron
108,01/01/2025 0:11,01/01/2025 0:28,1,3.2,2,19.1,1.0,0.5,0.0,0.0,1,21.6,Sunnyside,East Williamsburg
109,01/01/2025 0:34,01/01/2025 0:39,1,1.5,1,9.3,3.5,0.5,1.43,0.0,1,15.73,Williamsburg (South Side),Two Bridges/Seward Park
110,01/01/2025 0:59,01/01/2025 1:10,1,1.0,1,9.3,3.5,0.5,3.6,0.0,1,17.9,East Village,West Village
111,01/01/2025 0:13,01/01/2025 0:19,2,1.12,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Yorkville West,Lenox Hill West
112,01/01/2025 0:28,01/01/2025 0:36,1,1.51,1,10.0,1.0,0.5,3.0,0.0,1,18.0,Sutton Place/Turtle Bay North,Lenox Hill East
113,01/01/2025 0:46,01/01/2025 1:11,2,7.73,2,33.8,1.0,0.5,0.0,0.0,1,38.8,Lenox Hill East,TriBeCa/Civic Center
114,01/01/2025 0:35,01/01/2025 0:58,1,3.52,1,22.6,1.0,0.5,5.52,0.0,1,33.12,Greenwich Village North,Upper East Side South
115,01/01/2025 0:27,01/01/2025 0:31,1,0.47,1,5.8,1.0,0.5,0.0,0.0,1,10.8,Murray Hill,Midtown South
116,01/01/2025 0:42,01/01/2025 0:57,1,2.32,1,14.9,1.0,0.5,3.98,0.0,1,23.88,Murray Hill,Yorkville West
117,01/01/2025 0:02,01/01/2025 0:15,1,4.55,1,19.8,6.0,0.5,8.19,0.0,1,37.24,LaGuardia Airport,Long Island City/Queens Plaza
118,01/01/2025 0:42,01/01/2025 0:46,1,0.89,2,6.5,1.0,0.5,0.0,0.0,1,11.5,Upper East Side South,Yorkville West
119,01/01/2025 0:48,01/01/2025 1:09,1,7.23,1,31.7,1.0,0.5,7.34,0.0,1,44.04,Yorkville West,Financial District North
120,01/01/2025 0:40,01/01/2025 0:45,1,0.64,1,6.5,1.0,0.5,1.15,0.0,1,12.65,Union Sq,Greenwich Village North
121,01/01/2025 0:53,01/01/2025 1:04,1,1.06,1,10.7,1.0,0.5,3.14,0.0,1,18.84,Greenwich Village South,Lower East Side
122,01/01/2025 0:44,01/01/2025 1:23,1,10.9,1,47.1,3.5,0.5,5.0,0.0,1,57.1,World Trade Center,Central Harlem North
123,01/01/2025 0:08,01/01/2025 0:13,1,1.61,2,9.3,6.0,0.5,0.0,0.0,1,18.55,LaGuardia Airport,LaGuardia Airport
124,01/01/2025 0:24,01/01/2025 0:42,2,8.66,1,35.2,6.0,0.5,4.44,0.0,1,48.89,LaGuardia Airport,Williamsburg (South Side)
125,01/01/2025 0:05,01/01/2025 0:18,1,3.57,1,17.7,1.0,0.5,4.54,0.0,1,27.24,Financial District North,East Village
126,01/01/2025 0:22,01/01/2025 0:30,2,1.63,1,10.0,1.0,0.5,3.0,0.0,1,18.0,East Village,Murray Hill
127,01/01/2025 0:52,01/01/2025 1:00,2,1.13,1,9.3,1.0,0.5,2.86,0.0,1,17.16,East Village,Greenwich Village South
128,01/01/2025 0:34,01/01/2025 0:54,4,2.27,2,18.4,1.0,0.5,0.0,0.0,1,23.4,West Village,Clinton East
129,01/01/2025 0:19,01/01/2025 0:30,1,2.8,1,14.2,1.0,0.5,3.84,0.0,1,23.04,,
130,01/01/2025 0:32,01/01/2025 0:47,1,1.96,2,14.9,1.0,0.5,0.0,0.0,1,17.4,,
131,01/01/2025 1:02,01/01/2025 1:15,1,2.17,1,14.2,1.0,0.5,3.84,0.0,1,23.04,,
132,01/01/2025 0:11,01/01/2025 0:48,2,9.17,1,48.5,6.0,0.5,13.09,6.94,1,80.28,LaGuardia Airport,Penn Station/Madison Sq West
133,01/01/2025 0:05,01/01/2025 0:32,1,7.2,1,33.8,1.0,0.5,7.76,0.0,1,46.56,Upper East Side North,Elmhurst
134,01/01/2025 0:10,01/01/2025 0:19,1,1.4,1,8.6,3.5,0.5,2.7,0.0,1,16.3,Greenwich Village South,Two Bridges/Seward Park
135,01/01/2025 0:25,01/01/2025 0:32,2,0.8,1,7.2,3.5,0.5,2.45,0.0,1,14.65,Lower East Side,Lower East Side
136,01/01/2025 0:32,01/01/2025 0:38,4,0.9,2,7.2,3.5,0.5,0.0,0.0,1,12.2,Lower East Side,TriBeCa/Civic Center
137,01/01/2025 0:40,01/01/2025 0:48,1,2.1,1,10.7,3.5,0.5,3.15,0.0,1,18.85,TriBeCa/Civic Center,Flatiron
138,01/01/2025 0:07,01/01/2025 0:17,1,1.17,1,10.7,1.0,0.5,2.83,0.0,1,18.53,Murray Hill,Gramercy
139,01/01/2025 0:47,01/01/2025 0:59,2,1.05,1,12.1,1.0,0.5,1.71,0.0,1,18.81,Union Sq,Midtown East
140,01/01/2025 0:33,01/01/2025 0:43,1,2.09,1,12.8,1.0,0.5,4.45,0.0,1,22.25,Lincoln Square East,Manhattan Valley
141,01/01/2025 0:54,01/01/2025 1:05,1,1.2,1,11.4,3.5,0.5,2.0,0.0,1,18.4,Midtown North,Lincoln Square East
142,01/01/2025 0:00,01/01/2025 0:07,2,1.2,1,9.3,3.5,0.5,3.55,0.0,1,17.85,Gramercy,Greenwich Village South
143,01/01/2025 0:44,01/01/2025 1:08,1,3.3,1,22.6,3.5,0.5,8.25,0.0,1,35.85,Gramercy,World Trade Center
144,01/01/2025 0:18,01/01/2025 0:32,1,4.67,1,19.8,1.0,0.5,7.44,0.0,1,32.24,Midtown North,Central Harlem North
145,01/01/2025 0:12,01/01/2025 0:16,1,0.84,1,6.5,1.0,0.5,2.0,0.0,1,13.5,Yorkville West,East Harlem South
146,01/01/2025 0:33,01/01/2025 1:06,1,5.52,2,31.7,1.0,0.5,0.0,0.0,1,36.7,Upper East Side North,Union Sq
147,01/01/2025 0:16,01/01/2025 0:26,2,1.54,1,11.4,1.0,0.5,3.28,0.0,1,19.68,East Village,Penn Station/Madison Sq West
148,01/01/2025 0:15,01/01/2025 0:26,1,2.07,2,13.5,1.0,0.5,0.0,0.0,1,18.5,Lincoln Square East,Yorkville East
149,01/01/2025 0:31,01/01/2025 0:47,1,2.73,1,17.0,1.0,0.5,4.4,0.0,1,26.4,Lenox Hill West,Gramercy
150,01/01/2025 0:55,01/01/2025 1:06,1,1.42,2,-12.1,-1.0,-0.5,0.0,0.0,-1,-17.1,East Village,Chinatown
151,01/01/2025 0:55,01/01/2025 1:06,1,1.42,2,12.1,1.0,0.5,0.0,0.0,1,17.1,East Village,Chinatown
152,01/01/2025 0:09,01/01/2025 0:12,1,0.74,1,5.8,1.0,0.5,2.16,0.0,1,12.96,Yorkville West,Lenox Hill West
153,01/01/2025 0:44,01/01/2025 0:51,1,0.62,2,7.9,1.0,0.5,0.0,0.0,1,12.9,Greenwich Village North,Union Sq
154,01/01/2025 0:39,01/01/2025 1:00,1,7.78,1,33.8,6.0,0.5,8.26,0.0,1,51.31,LaGuardia Airport,Bushwick North
155,01/01/2025 0:36,01/01/2025 0:56,4,4.75,1,25.4,1.0,0.5,6.08,0.0,1,36.48,Lenox Hill West,Lower East Side
156,01/01/2025 0:34,01/01/2025 0:40,3,0.4,1,7.2,3.5,0.5,0.09,0.0,1,12.29,Greenwich Village South,East Village
157,01/01/2025 0:44,01/01/2025 1:10,2,4.5,1,26.1,3.5,0.5,9.3,0.0,1,40.4,East Village,Lincoln Square East
158,01/01/2025 0:17,01/01/2025 0:27,1,1.0,1,8.6,3.5,0.5,2.7,0.0,1,16.3,Upper East Side North,Lenox Hill West
159,01/01/2025 0:39,01/01/2025 0:44,1,0.7,1,5.8,3.5,0.5,2.7,0.0,1,13.5,Yorkville West,Lenox Hill East
160,01/01/2025 0:51,01/01/2025 1:03,1,1.9,1,11.4,3.5,0.5,3.3,0.0,1,19.7,Upper East Side South,Yorkville East
161,01/01/2025 0:29,01/01/2025 0:46,4,3.16,1,18.4,1.0,0.5,4.68,0.0,1,28.08,Gramercy,Yorkville West
162,01/01/2025 0:58,01/01/2025 1:16,1,2.31,1,17.7,1.0,0.5,4.54,0.0,1,27.24,Sutton Place/Turtle Bay North,Lincoln Square West
163,01/01/2025 0:11,01/01/2025 0:36,1,5.29,1,26.8,1.0,0.5,7.95,0.0,1,39.75,Meatpacking/West Village West,Clinton Hill
164,01/01/2025 0:37,01/01/2025 0:58,1,3.91,1,21.9,1.0,0.5,5.38,0.0,1,32.28,Clinton Hill,Two Bridges/Seward Park
165,01/01/2025 0:48,01/01/2025 1:13,1,11.81,1,80.0,0.0,0.0,0.0,21.38,1,102.38,East Chelsea,Outside of NYC
166,01/01/2025 0:22,01/01/2025 0:27,1,0.64,1,7.2,1.0,0.5,2.44,0.0,1,14.64,East Chelsea,West Village
167,01/01/2025 0:32,01/01/2025 0:42,1,1.06,1,10.7,1.0,0.5,2.0,0.0,1,17.7,Greenwich Village South,East Village
168,01/01/2025 0:44,01/01/2025 1:05,1,4.02,1,21.9,1.0,0.5,5.38,0.0,1,32.28,East Village,Lenox Hill West
169,01/01/2025 0:18,01/01/2025 0:44,1,9.04,1,39.4,1.0,0.5,5.0,0.0,1,49.4,Upper West Side South,Williamsburg (South Side)
170,01/01/2025 0:17,01/01/2025 0:27,1,1.78,1,12.1,1.0,0.5,3.42,0.0,1,20.52,Lincoln Square East,Upper West Side North
171,01/01/2025 0:32,01/01/2025 1:09,1,9.79,1,44.3,1.0,0.5,12.32,0.0,1,61.62,Upper West Side South,Brooklyn Heights
172,01/01/2025 0:38,01/01/2025 0:56,1,2.2,2,14.2,3.5,0.5,0.0,0.0,1,19.2,West Village,Murray Hill
173,01/01/2025 0:00,01/01/2025 1:03,1,6.4,1,52.0,3.5,0.5,17.05,0.0,1,74.05,SoHo,Midtown South
174,01/01/2025 0:01,01/01/2025 0:08,0,0.9,1,7.9,3.5,0.5,1.0,0.0,1,13.9,Greenwich Village North,Lower East Side
175,01/01/2025 0:14,01/01/2025 0:32,0,2.1,1,14.9,3.5,0.5,5.95,0.0,1,25.85,Lower East Side,Midtown South
176,01/01/2025 0:52,01/01/2025 1:01,0,1.5,1,9.3,3.5,0.5,3.0,0.0,1,17.3,West Village,West Chelsea/Hudson Yards
177,01/01/2025 0:16,01/01/2025 0:21,1,1.12,1,7.2,1.0,0.5,2.44,0.0,1,14.64,Upper West Side South,Upper West Side North
178,01/01/2025 0:24,01/01/2025 0:31,1,1.42,1,9.3,1.0,0.5,2.86,0.0,1,17.16,Central Park,Upper East Side North
179,01/01/2025 0:38,01/01/2025 0:48,1,2.19,1,12.8,1.0,0.5,3.56,0.0,1,21.36,Upper West Side South,Yorkville West
180,01/01/2025 0:53,01/01/2025 0:57,1,0.63,1,5.8,1.0,0.5,2.16,0.0,1,12.96,Yorkville West,Yorkville West
181,01/01/2025 0:30,01/01/2025 0:44,1,1.58,1,13.5,1.0,0.5,0.0,0.0,1,18.5,West Village,East Village
182,01/01/2025 0:54,01/01/2025 1:06,4,1.0,2,11.4,3.5,0.5,0.0,0.0,1,16.4,Sutton Place/Turtle Bay North,Midtown North
183,01/01/2025 0:19,01/01/2025 0:32,1,1.9,1,12.8,3.5,0.5,3.55,0.0,1,21.35,Murray Hill,Greenwich Village South
184,01/01/2025 0:33,01/01/2025 1:12,1,5.3,1,33.1,3.5,0.5,9.55,0.0,1,47.65,Greenwich Village South,Upper West Side North
185,01/01/2025 0:19,01/01/2025 0:45,1,4.65,1,26.1,1.0,0.5,6.22,0.0,1,37.32,Flatiron,Upper East Side North
186,01/01/2025 0:48,01/01/2025 0:56,1,1.62,1,10.7,1.0,0.5,3.92,0.0,1,19.62,Upper East Side North,Upper West Side North
187,01/01/2025 0:09,01/01/2025 0:23,1,2.3,1,12.8,3.5,0.5,4.45,0.0,1,22.25,Lincoln Square East,Manhattan Valley
